title,description,image,link,button
Aerial Imagery Explorer,"Discover, visualize, explore, and download digital georeferenced aerial imagery.",https://insideidaho.org/images/imagery-explorer.png,/apps/imagery-explorer/,Start Exploring
Event,"A current GIS event",/assets/img/earth.jpg,,Learn More
Get Started,"Where to start",/assets/img/night.jpg,,Get Started
