title,description,image,link,button
Idaho Aerial Imagery Explorer,"Discover, explore, and download publicly-accessible digital georeferenced aerial imagery",/assets/img/apps/imagery-explorer.jpg,/apps/imagery-explorer/,Start Exploring Aerial Imagery
Idaho Historical Topographic Maps,"Explore and download historical topographic maps sourced from the U.S. Geological Survey",/assets/img/apps/topomaps-explorer.jpg,/apps/topomaps-explorer/,See Topographic Maps
Idaho Elevation Data,"Download National Elevation Dataset tiles sourced from the U.S. Geological Survey",/assets/img/apps/elevation-explorer.jpg,/apps/elevation-explorer/,Download Elevation Data
Idaho Ground Snow Loads,"An interactive map providing normalized ground snow load calculations based on location",/assets/img/apps/snowload.jpg,https://www.lib.uidaho.edu/digital/idahosnow/map2015.html,Check Your Snow Load
