title,description,image,link,button
GIS Software & Support Services,"Download and license GIS software, find out about self-paced E-learning courses, or schedule a consultation.",/assets/img/aerial-public.jpg,https://www.lib.uidaho.edu/find/geospatial/,Learn More
U of I Licensed Aerial Imagery,"Browse a list of licensed aerial imagery having access and use restricted to those affiliated with the U of I",/assets/img/aerial-licensed.jpg,https://uidaho.maps.arcgis.com/home/group.html?id=1954ee9ea97b49f1b05f3b294cc9a59d&view=list#content,Sign In With Your Vandal NetID
U of I Gallery,"Browse a list of resources managed by the U of I to advance research, teaching, and outreach",/assets/img/u-of-i-gallery.png,https://uidaho.maps.arcgis.com/home/gallery.html?view=list&sortOrder=asc&sortField=title,View the List
